NO,NO KEC,KECAMATAN,TERAKREDITASI (A),TERAKREDITASI (B),TERAKREDITASI (C),SEKOLAH MENENGAH PERTAMA (SMP) NEGERI BELUM TERAKREDITASI,JUMLAH TOTAL SEKOLAH MENENGAH PERTAMA (SMP),JUMLAH SMP NEGERI,JUMLAH RUANG KELAS SMP NEGERI,JUMLAH LABORATORIUM IPA,JUMLAH LABORATORIUM BAHASA,JUMLAH LABORATORIUM KOMPUTER,JUMLAH SISWA SMP NEGERI (LAKI-LAKI),JUMLAH SISWA SMP NEGERI (PEREMPUAN),JUMLAH TOTAL SISWA,JUMLAH GURU SMP NEGERI YANG SUDAH SERTIFIKASI,JUMLAH GURU SMP NEGERI YANG BELUM SERTIFIKASI,JUMLAH TOTAL GURU SMP NEGERI,JUMLAH GURU SMP NEGERI KUALIFIKASI D3/D4,JUMLAH GURU SMP NEGERI KUALIFIKASI S1,JUMLAH GURU SMP NEGERI KUALIFIKASI S2,RASIO
1,32.75.01,Bekasi Timur,6,0,0,1,7,7,187,8,1,9,3702,3780,7.482,194,217,411,24,259,40,"18,2"
2,32.75.02,Bekasi Barat,3,0,0,2,5,5,93,2,1,2,2229,2201,4.43,89,122,211,3,122,38,21
3,32.75.03,Bekasi Utara,6,0,0,1,7,7,163,6,3,3,3461,3354,6.815,131,247,378,14,266,25,"18,03"
4,32.75.04,Bekasi Selatan,3,0,0,3,6,6,148,5,3,8,2658,2731,5.389,126,158,284,7,187,30,"18,98"
5,32.75.05,Rawalumbu,4,0,0,1,5,5,119,4,2,8,2275,2340,4.615,117,116,233,6,139,25,"19,81"
6,32.75.06,Medansatria,1,2,0,0,3,3,39,2,1,2,1145,1146,2.291,55,80,135,6,98,13,"16,97"
7,32.75.07,Bantargebang,1,0,0,2,3,3,66,3,2,1,1263,1153,2.416,48,87,135,3,90,14,"17,9"
8,32.75.08,Pondokgede,2,1,0,1,4,4,101,3,2,3,1999,2108,4.107,91,85,176,3,128,11,"23,34"
9,32.75.09,Jatiasih,6,1,0,0,7,7,166,6,1,8,3380,3349,6.729,135,229,364,7,246,44,"18,49"
10,32.75.10,Jatisampurna,2,1,0,0,3,3,63,2,1,2,1285,1245,2.53,48,104,152,4,91,12,"16,64"
11,32.75.11,Mustikajaya,5,0,0,0,5,5,74,3,1,7,2138,2222,4.36,117,123,240,8,172,14,"18,17"
12,32.75.12,Pondokmelati,1,0,0,0,1,1,23,1,0,0,672,585,1.257,25,31,56,2,40,7,"22,45"
